#################################################
# List of available commands
# Add commands from your own extensions here as
#################################################

Next Error|View.NextError
Fulltext Index|TableDesigner.FulltextIndex
X M L Indexes|TableDesigner.XMLIndexes
Spatial Indexes|TableDesigner.SpatialIndexes
#Misc Icon1|Image.MiscIcon1
#Misc Icon2|Image.MiscIcon2
#Misc Icon3|Image.MiscIcon3
#Misc Icon4|Image.MiscIcon4
#Misc Icon5|Image.MiscIcon5
#Misc Icon6|Image.MiscIcon6
#Misc Icon7|Image.MiscIcon7
#Misc Icon8|Image.MiscIcon8
#Misc Icon9|Image.MiscIcon9
#More Icons|Image.MoreIcons
#Misc Cursor1|Image.MiscCursor1
#Misc Cursor2|Image.MiscCursor2
#Misc Cursor3|Image.MiscCursor3
#Misc Cursor4|Image.MiscCursor4
#Misc Cursor5|Image.MiscCursor5
#Misc Cursor6|Image.MiscCursor6
#Misc Cursor7|Image.MiscCursor7
#Misc Cursor8|Image.MiscCursor8
#Misc Cursor9|Image.MiscCursor9
#More Cursors|Image.MoreCursors
Add New Test|Project.AddNewTest
Add Unit Test|Project.AddUnitTest
Add Load Test|Project.AddLoadTest
Add Web Performance Test|Project.AddWebPerformanceTest
Add Coded U I Test|Project.AddCodedUITest
Add Ordered Test|Project.AddOrderedTest
Add Generic Test|Project.AddGenericTest
Install Community Controls|Tools.InstallCommunityControls
Edit Data Setwith Designer|OtherContextMenus.DataSources.EditDataSetwithDesigner
Configure Data Sourcewith Wizard|OtherContextMenus.DataSources.ConfigureDataSourcewithWizard
Remove Object|OtherContextMenus.DataSources.RemoveObject
Expand Collapse Base Type List|Edit.ExpandCollapseBaseTypeList
Navigate To Lollipop|Edit.NavigateToLollipop
Show Type|ClassDiagram.ShowType
Hide Line|ClassDiagram.HideLine
Adjust Shapes Width|ClassDiagram.AdjustShapesWidth
Display Name|ClassDiagram.DisplayName
Display Name and Type|ClassDiagram.DisplayNameandType
Display Full Signature|ClassDiagram.DisplayFullSignature
Add Enum|ClassDiagram.AddEnum
Add Abstract Class|ClassDiagram.AddAbstractClass
Add Struct|ClassDiagram.AddStruct
Add Delegate|ClassDiagram.AddDelegate
Add Comment|ClassDiagram.AddComment
Override Members|Edit.OverrideMembers
Relink Shape with Code|ClassDiagram.RelinkShapewithCode
Export Diagramas Image|ClassDiagram.ExportDiagramasImage
#Zoom400|ClassDiagram.Zoom400
#Zoom300|ClassDiagram.Zoom300
#Zoom200|ClassDiagram.Zoom200
#Zoom150|ClassDiagram.Zoom150
#Zoom125|ClassDiagram.Zoom125
#Zoom100|ClassDiagram.Zoom100
#Zoom75|ClassDiagram.Zoom75
#Zoom66|ClassDiagram.Zoom66
#Zoom50|ClassDiagram.Zoom50
#Zoom33|ClassDiagram.Zoom33
#Zoom25|ClassDiagram.Zoom25
#Zoom10|ClassDiagram.Zoom10
Zoom To Fit|ClassDiagram.ZoomToFit
Toggle Lollipop Expand Collapse|ClassDiagram.ToggleLollipopExpandCollapse
Show Interface|ClassDiagram.ShowInterface
Add Constructor|ClassDiagram.AddConstructor
Add Destructor|ClassDiagram.AddDestructor
Add Constant|ClassDiagram.AddConstant
Hide Compartment|ClassDiagram.HideCompartment
Show All Members|ClassDiagram.ShowAllMembers
Unhide|ClassDiagram.Unhide
Add Field|ClassDiagram.AddField
Add Parameter|ClassDiagram.AddParameter
Copy Image|Edit.CopyImage
Group by Kind|ClassDiagram.GroupbyKind
Group by Access|ClassDiagram.GroupbyAccess
Sort Alphabetically|ClassDiagram.SortAlphabetically
Show Base Type|ClassDiagram.ShowBaseType
Show as Association|ClassDiagram.ShowasAssociation
Show as Collection Association|ClassDiagram.ShowasCollectionAssociation
Show Derived Types|ClassDiagram.ShowDerivedTypes
Show as Field|ClassDiagram.ShowasField
Hide Inheritance Line|ClassDiagram.HideInheritanceLine
Navigate to Methods|ClassDiagram.NavigatetoMethods
Navigate to Properties|ClassDiagram.NavigatetoProperties
Navigate to Fields|ClassDiagram.NavigatetoFields
Navigate to Events|ClassDiagram.NavigatetoEvents
New Method|ClassDiagram.NewMethod
New Property|ClassDiagram.NewProperty
New Field|ClassDiagram.NewField
New Event|ClassDiagram.NewEvent
New Constructor|ClassDiagram.NewConstructor
New Destructor|ClassDiagram.NewDestructor
New Constant|ClassDiagram.NewConstant
Last Selected Run Settings File|TestExplorer.LastSelectedRunSettingsFile
Second Last Selected Run Settings File|TestExplorer.SecondLastSelectedRunSettingsFile
Third Last Selected Run Settings File|TestExplorer.ThirdLastSelectedRunSettingsFile
Select Run Settings File|TestExplorer.SelectRunSettingsFile
Show Test Explorer|TestExplorer.ShowTestExplorer
Profile Test|TestExplorer.ProfileTest
Run Selected Tests|TestExplorer.RunSelectedTests
Run All Tests|TestExplorer.RunAllTests
Run Failed Tests|TestExplorer.RunFailedTests
Run Not Run Tests|TestExplorer.RunNotRunTests
Run Passed Tests|TestExplorer.RunPassedTests
Repeat Last Run|TestExplorer.RepeatLastRun
Debug Selected Tests|TestExplorer.DebugSelectedTests
Debug All Tests|TestExplorer.DebugAllTests
Open Playlist File|TestExplorer.OpenPlaylistFile
All Tests Playlist|TestExplorer.AllTestsPlaylist
Select Playlist|TestExplorer.SelectPlaylist
Toggle Run Tests After Build|TestExplorer.ToggleRunTestsAfterBuild
Execution Platform X86|TestExplorer.ExecutionPlatformX86
Execution Platform X64|TestExplorer.ExecutionPlatformX64
Cancel Tests|TestExplorer.CancelTests
Remove From Playlist|TestExplorer.RemoveFromPlaylist
Next Group By|TestExplorer.NextGroupBy
Add To Playlist|TestExplorer.AddToPlaylist
Add To New Playlist|TestExplorer.AddToNewPlaylist
Copy Details|TestExplorer.CopyDetails
Run All Tests In Context|TestExplorer.RunAllTestsInContext
Debug All Tests In Context|TestExplorer.DebugAllTestsInContext
Interaction Operand Before|ArchitectureDesigner.Sequence.Add.InteractionOperandBefore
Interaction Operand After|ArchitectureDesigner.Sequence.Add.InteractionOperandAfter
Lifeline|ArchitectureDesigner.Sequence.Add.Lifeline
Synchronous Message|ArchitectureDesigner.Sequence.Add.SynchronousMessage
Asynchronous Message|ArchitectureDesigner.Sequence.Add.AsynchronousMessage
Create Message|ArchitectureDesigner.Sequence.Add.CreateMessage
Comment|ArchitectureDesigner.Sequence.Add.Comment
Comment Link|ArchitectureDesigner.Sequence.Add.CommentLink
Interaction Use|ArchitectureDesigner.Sequence.Add.InteractionUse
Alt Combined Fragment|ArchitectureDesigner.Sequence.SurroundWith.AltCombinedFragment
Assert Combined Fragment|ArchitectureDesigner.Sequence.SurroundWith.AssertCombinedFragment
Break Combined Fragment|ArchitectureDesigner.Sequence.SurroundWith.BreakCombinedFragment
Consider Combined Fragment|ArchitectureDesigner.Sequence.SurroundWith.ConsiderCombinedFragment
Critical Combined Fragment|ArchitectureDesigner.Sequence.SurroundWith.CriticalCombinedFragment
Ignore Combined Fragment|ArchitectureDesigner.Sequence.SurroundWith.IgnoreCombinedFragment
Loop Combined Fragment|ArchitectureDesigner.Sequence.SurroundWith.LoopCombinedFragment
Negative Combined Fragment|ArchitectureDesigner.Sequence.SurroundWith.NegativeCombinedFragment
Option Combined Fragment|ArchitectureDesigner.Sequence.SurroundWith.OptionCombinedFragment
Parallel Combined Fragment|ArchitectureDesigner.Sequence.SurroundWith.ParallelCombinedFragment
Strict Sequencing Combined Fragment|ArchitectureDesigner.Sequence.SurroundWith.StrictSequencingCombinedFragment
Weak Sequencing Combined Fragment|ArchitectureDesigner.Sequence.SurroundWith.WeakSequencingCombinedFragment
Create Lifeline|ArchitectureDesigner.LogicalClass.CreateLifeline
Goto|ArchitectureDesigner.Sequence.Goto
Seq Create Logical Class Interaction|ArchitectureDesigner.Sequence.SeqCreateLogicalClassInteraction
Create Logical Interface Interaction|ArchitectureDesigner.Sequence.CreateLogicalInterfaceInteraction
Create Logical Method Interaction|ArchitectureDesigner.Sequence.CreateLogicalMethodInteraction
Create New Sequence Interaction|ArchitectureDesigner.Sequence.CreateNewSequenceInteraction
Go To Sequence Interaction|ArchitectureDesigner.Sequence.GoToSequenceInteraction
Link Interaction Use To S D Interaction|ArchitectureDesigner.Sequence.LinkInteractionUseToSDInteraction
Move Message To Diagram|ArchitectureDesigner.Sequence.MoveMessageToDiagram
Navigate To Progression Node|ArchitectureDesigner.Sequence.NavigateToProgressionNode
Generate Sequence From Message|ArchitectureDesigner.Sequence.GenerateSequenceFromMessage
Expand Outgoing Lifeline On Lost Message|ArchitectureDesigner.Sequence.ExpandOutgoingLifelineOnLostMessage
Navigate To Code|ArchitectureDesigner.Sequence.NavigateToCode
Goto Object|Sequence.GotoObject
Line|ArchitectureDesigner.ArchitectTools.Add.Line
Ellipse|ArchitectureDesigner.ArchitectTools.Add.Ellipse
Rectangle|ArchitectureDesigner.ArchitectTools.Add.Rectangle
Rearrange Layout|ArchitectureDesigner.RearrangeLayout
Validate Architecture|ArchitectureDesigner.Layer.ValidateArchitecture
Paste Reference|ArchitectureDesigner.PasteReference
Generate Dependencies|ArchitectureDesigner.Layer.GenerateDependencies
Delete From Model|Edit.DeleteFromModel
Hide Work Items Icon|ArchitectureDesigner.HideWorkItemsIcon
Group|ArchitectureDesigner.Layer.Group
View Links|ArchitectureDesigner.Layer.ViewLinks
Model Store Dump Store|Debug.ModelStoreDumpStore
Link To Work Item|ArchitectureDesigner.LinkToWorkItem
View Work Items|ArchitectureDesigner.ViewWorkItems
Remove Work Items|ArchitectureDesigner.RemoveWorkItems
Create Work Item|ArchitectureDesigner.CreateWorkItem
New Diagram|Architecture.NewDiagram
Validate U M L Model|Architecture.ValidateUMLModel
Source|OtherContextMenus.SequenceDesignerContext.Reconnect.Source
Target|OtherContextMenus.SequenceDesignerContext.Reconnect.Target
Actor|ArchitectureDesigner.UseCase.Add.Actor
Use Case|ArchitectureDesigner.UseCase.Add.UseCase
Subsystem|ArchitectureDesigner.UseCase.Add.Subsystem
Artifact|ArchitectureDesigner.UseCase.Add.Artifact
Dependency|ArchitectureDesigner.UseCase.Add.Dependency
Include|ArchitectureDesigner.UseCase.Add.Include
Extend|ArchitectureDesigner.UseCase.Add.Extend
Generalization|ArchitectureDesigner.UseCase.Add.Generalization
Attribute|ArchitectureDesigner.LogicalClass.Add.Attribute
Operation|ArchitectureDesigner.LogicalClass.Add.Operation
Literal|ArchitectureDesigner.LogicalClass.Add.Literal
Interface|ArchitectureDesigner.LogicalClass.Add.Interface
Enumeration|ArchitectureDesigner.LogicalClass.Add.Enumeration
Package|ArchitectureDesigner.LogicalClass.Add.Package
Aggregation|ArchitectureDesigner.LogicalClass.Add.Aggregation
Composition|ArchitectureDesigner.LogicalClass.Add.Composition
Connector|ArchitectureDesigner.LogicalClass.Add.Connector
Go To Interface Definition|ArchitectureDesigner.LogicalClass.GoToInterfaceDefinition
Show As Lollipop|ArchitectureDesigner.LogicalClass.ShowAsLollipop
Show As Line|ArchitectureDesigner.LogicalClass.ShowAsLine
Override Operations|ArchitectureDesigner.LogicalClass.SmartTag.OverrideOperations
Override All Operations|ArchitectureDesigner.LogicalClass.SmartTag.OverrideAllOperations
Override Abstract Operations|ArchitectureDesigner.LogicalClass.OverrideAbstractOperations
Expand Collapse|ArchitectureDesigner.LogicalClass.ExpandCollapse
Show Qualified Name|ArchitectureDesigner.LogicalClass.ShowQualifiedName
Hide Qualified Name|ArchitectureDesigner.LogicalClass.HideQualifiedName
Show Full Signature|ArchitectureDesigner.LogicalClass.ShowFullSignature
Hide Full Signature|ArchitectureDesigner.LogicalClass.HideFullSignature
Initial Node|ArchitectureDesigner.Activity.Add.InitialNode
Activity Final Node|ArchitectureDesigner.Activity.Add.ActivityFinalNode
Action|ArchitectureDesigner.Activity.Add.Action
Object Node|ArchitectureDesigner.Activity.Add.ObjectNode
Decision Node|ArchitectureDesigner.Activity.Add.DecisionNode
Merge Node|ArchitectureDesigner.Activity.Add.MergeNode
Fork Node|ArchitectureDesigner.Activity.Add.ForkNode
Join Node|ArchitectureDesigner.Activity.Add.JoinNode
Send Signal Action|ArchitectureDesigner.Activity.Add.SendSignalAction
Accept Event Action|ArchitectureDesigner.Activity.Add.AcceptEventAction
Call Behavior Action|ArchitectureDesigner.Activity.Add.CallBehaviorAction
Call Operation Action|ArchitectureDesigner.Activity.Add.CallOperationAction
Input Pin|ArchitectureDesigner.Activity.Add.InputPin
Output Pin|ArchitectureDesigner.Activity.Add.OutputPin
Activity Parameter Node|ArchitectureDesigner.Activity.Add.ActivityParameterNode
Component|ArchitectureDesigner.Component.Add.Component
Delegation|ArchitectureDesigner.Component.Add.Delegation
Provided Interface|ArchitectureDesigner.Component.Add.ProvidedInterface
Required Interface|ArchitectureDesigner.Component.Add.RequiredInterface
Assembly|ArchitectureDesigner.Component.Add.Assembly
Suppress Errors|ArchitectureDesigner.Layer.SuppressErrors
Stop Suppressing Errors|ArchitectureDesigner.Layer.StopSuppressingErrors
Show Suppressed Errors|ArchitectureDesigner.Layer.ShowSuppressedErrors
Hide Suppressed Errors|ArchitectureDesigner.Layer.HideSuppressedErrors
Code|Layer.GoTo.Code
Layer Diagram|ArchitectureDesigner.Layer.GoTo.LayerDiagram
Layer|ArchitectureDesigner.Layer.Add.Layer
Bidirectional Dependency|ArchitectureDesigner.Layer.Add.BidirectionalDependency
Export D G M L|ArchitectureExplorer.ExportDGML
New Graph|ArchitectureExplorer.NewGraph
Merge Graph|ArchitectureExplorer.MergeGraph
By Assembly|Architecture.ByAssembly
By Namespace|Architecture.ByNamespace
By Class|Architecture.ByClass
For Solution|Architecture.ForSolution
For Include File|Architecture.ForIncludeFile
Refetch Children|ArchitectureContextMenus.DirectedGraphContextMenu.Advanced.Group.RefetchChildren
Use Coded U I Test Builder|Test.UseCodedUITestBuilder
Use Existing Action Recording|Test.UseExistingActionRecording
Edit With Coded U I Test Builder|ProjectandSolutionContextMenus.Item.EditWithCodedUITestBuilder
Splitintoanewmethod|OtherContextMenus.UITestEditorContextMenu.Splitintoanewmethod
Movecode|OtherContextMenus.UITestEditorContextMenu.Movecode
Insert Delay Before|OtherContextMenus.UITestEditorContextMenu.InsertDelayBefore
Locatethe U I Control|OtherContextMenus.UITestEditorContextMenu.LocatetheUIControl
Locate All|OtherContextMenus.UITestEditorContextMenu.LocateAll
Show Overview Panel|ShowOverviewPanel
Show Counters Panel|ShowCountersPanel
Add Graph|AddGraph
Restore Default Views|RestoreDefaultViews
Add Analysis Notes|AddAnalysisNotes
Open Comparison Result|OpenComparisonResult
Show Differences|ShowDifferences
Show Zoom Controls|ShowZoomControls
Synchronize Horizontal Zoom Controls|SynchronizeHorizontalZoomControls
Create Excel Report|Test.CreateExcelReport
View Profiler Performance Report|Test.ViewProfilerPerformanceReport
View Attachment|Test.ViewAttachment
Show Legend|ShowLegend
Graph Data For Entire Run|GraphDataForEntireRun
Graph Only Recent Data|GraphOnlyRecentData
Show Horizontal Grid Line|ShowHorizontalGridLine
Show Min Max Lines|ShowMinMaxLines
Show Threshold Violations On Graph|ShowThresholdViolationsOnGraph
Export To Excel|ExportToExcel
Export To Text|ExportToText
One Panel|OnePanel
Two Horizontal Panels|TwoHorizontalPanels
Two Vertical Panels|TwoVerticalPanels
Three Horizontal Panels|ThreeHorizontalPanels
Three Vertical Panels|ThreeVerticalPanels
Three Panels Weighted Left|ThreePanelsWeightedLeft
Three Panels Weighted Right|ThreePanelsWeightedRight
Three Panels Weighted Top|ThreePanelsWeightedTop
Three Panels Weighted Bottom|ThreePanelsWeightedBottom
Four Horizontal Panels|FourHorizontalPanels
Four Vertical Panels|FourVerticalPanels
Four Panels Grid|FourPanelsGrid
Jump To Counter Pane|LoadTest.JumpToCounterPane
New Style|Format.NewStyle
Attach Style Sheet|Format.AttachStyleSheet
#Rowsor Columns|Table.RowsorColumns
#Columntothe Left|Table.ColumntotheLeft
#Columntothe Right|Table.ColumntotheRight
#Row Above|Table.RowAbove
#Row Below|Table.RowBelow
#Celltothe Left|Table.CelltotheLeft
#Celltothe Right|Table.CelltotheRight
#Caption|Table.Caption
#Delete Table|Table.DeleteTable
#Delete Columns|Table.DeleteColumns
#Delete Rows|Table.DeleteRows
#Delete Cells|Table.DeleteCells
#Table|Table.Table
#Row|Table.Row
#Cell|Table.Cell
#Split Cells|Table.SplitCells
#Split Table|Table.SplitTable
#Distribute Rows Evenly|Table.DistributeRowsEvenly
#Distribute Columns Evenly|Table.DistributeColumnsEvenly
#Autofitto Contents|Table.AutofittoContents
#Insert Table|Table.InsertTable
#Absolute|Format.Absolute
#Relative|Format.Relative
#Styles|Format.Styles
#Font|Format.Font
#Manage Style Sheet Links|Format.ManageStyleSheetLinks
#Paragraph|Format.Paragraph
#Bulletsand Numbering|Format.BulletsandNumbering
#Bordersand Shading|Format.BordersandShading
#Shared Borders|Format.SharedBorders
#Position|Format.Position
#Format Auto Shape|Format.FormatAutoShape
#Remove Formatting|Format.RemoveFormatting
#Show Ruler|View.ShowRuler
#Snap To Grid|View.SnapToGrid
#Set Origin From Selection|View.SetOriginFromSelection
#Reset Origin|View.ResetOrigin
#Show Image|View.ShowImage
#Show|View.Show
#Block Selection|View.BlockSelection
#Visible Borders|View.VisibleBorders
#Empty Containers|View.EmptyContainers
#Marginsand Padding|View.MarginsandPadding
#C S S Displaynone Elements|View.CSSDisplaynoneElements
#C S S Visibilityhidden Elements|View.CSSVisibilityhiddenElements
#N E T Nonvisual Controls|View.ASP.NETNonvisualControls
#Template Region Labels|View.TemplateRegionLabels
Tag Marks|View.TagMarks
Paragraph Marks|View.ParagraphMarks
Line Breaks|View.LineBreaks
Spaces|View.Spaces
Comments|View.Comments
Script Blocks|View.ScriptBlocks
Positioned Absolute|View.PositionedAbsolute
Aligned Elements|View.AlignedElements
Hidden From Fields|View.HiddenFromFields
End Template Editing|OtherContextMenus.Context.EndTemplateEditing
Extract to User Control|OtherContextMenus.ASPXContext.ExtracttoUserControl
C S S Properties|View.CSSProperties
Manage Styles|View.ManageStyles
Apply Styles|View.ApplyStyles
Package Visualizer|Tools.PackageVisualizer
Package Manager Settings|Tools.PackageManagerSettings
Enable Nu Get Package Restore|Project.EnableNuGetPackageRestore
Toggle Legend|ToggleLegend
Save As X P S|SaveAsXPS
Legend|Legend
Left To Right|LeftToRight
Right To Left|RightToLeft
Top To Bottom|TopToBottom
Bottom To Top|BottomToTop
Quick Clusters|QuickClusters
Automatically Layoutwhen Debugging|AutomaticallyLayoutwhenDebugging
Incremental Layout|IncrementalLayout
#Category1|ArchitectureContextMenus.DirectedGraphContextMenu.OtherFlagColors.Category1
#Category2|ArchitectureContextMenus.DirectedGraphContextMenu.OtherFlagColors.Category2
#Category3|ArchitectureContextMenus.DirectedGraphContextMenu.OtherFlagColors.Category3
#Category4|ArchitectureContextMenus.DirectedGraphContextMenu.OtherFlagColors.Category4
#Category5|ArchitectureContextMenus.DirectedGraphContextMenu.OtherFlagColors.Category5
#Category6|ArchitectureContextMenus.DirectedGraphContextMenu.OtherFlagColors.Category6
#Category7|ArchitectureContextMenus.DirectedGraphContextMenu.OtherFlagColors.Category7
#Category8|ArchitectureContextMenus.DirectedGraphContextMenu.OtherFlagColors.Category8
#Category9|ArchitectureContextMenus.DirectedGraphContextMenu.OtherFlagColors.Category9
#Category10|ArchitectureContextMenus.DirectedGraphContextMenu.OtherFlagColors.Category10
#1|DirectedGraph.NeighborhoodDistance.1
#2|DirectedGraph.NeighborhoodDistance.2
#3|DirectedGraph.NeighborhoodDistance.3
#4|DirectedGraph.NeighborhoodDistance.4
#5|DirectedGraph.NeighborhoodDistance.5
#6|DirectedGraph.NeighborhoodDistance.6
#7|DirectedGraph.NeighborhoodDistance.7
Toggle Neighborhood Browse Mode|DirectedGraph.ToggleNeighborhoodBrowseMode
All|DirectedGraph.NeighborhoodDistance.All
Incoming Dependencies|ArchitectureContextMenus.DirectedGraphContextMenu.Advanced.Select.IncomingDependencies
Outgoing Dependencies|ArchitectureContextMenus.DirectedGraphContextMenu.Advanced.Select.OutgoingDependencies
Both Dependencies|ArchitectureContextMenus.DirectedGraphContextMenu.Advanced.Select.BothDependencies
Connected Subgraph|ArchitectureContextMenus.DirectedGraphContextMenu.Advanced.Select.ConnectedSubgraph
All Matching Objects|ArchitectureContextMenus.DirectedGraphContextMenu.Advanced.Select.AllMatchingObjects
Children|ArchitectureContextMenus.DirectedGraphContextMenu.Advanced.Select.Children
Hide Selected|ArchitectureContextMenus.DirectedGraphContextMenu.Advanced.Select.HideSelected
Hide Unselected|ArchitectureContextMenus.DirectedGraphContextMenu.Advanced.Select.HideUnselected
Unhide Children|ArchitectureContextMenus.DirectedGraphContextMenu.Advanced.Select.UnhideChildren
Unhide All|ArchitectureContextMenus.DirectedGraphContextMenu.Advanced.Select.UnhideAll
Toggle Grouping|ArchitectureContextMenus.DirectedGraphContextMenu.Advanced.Group.ToggleGrouping
Show Cross Group Links|ShowCrossGroupLinks
Hide Cross Group Links|HideCrossGroupLinks
Toggle Cross Group Links|ToggleCrossGroupLinks
Toggle All Links|ToggleAllLinks
Bundle Cross Group Links|BundleCrossGroupLinks
Show Method Containing Cursor On Code Maps|ShowMethodContainingCursorOnCodeMaps
#Goto2|ArchitectureContextMenus.DirectedGraphContextMenu.GoToReference.Goto2
#Goto3|ArchitectureContextMenus.DirectedGraphContextMenu.GoToReference.Goto3
#Goto4|ArchitectureContextMenus.DirectedGraphContextMenu.GoToReference.Goto4
#Goto5|ArchitectureContextMenus.DirectedGraphContextMenu.GoToReference.Goto5
#Goto6|ArchitectureContextMenus.DirectedGraphContextMenu.GoToReference.Goto6
#Goto7|ArchitectureContextMenus.DirectedGraphContextMenu.GoToReference.Goto7
#Goto8|ArchitectureContextMenus.DirectedGraphContextMenu.GoToReference.Goto8
#Goto9|ArchitectureContextMenus.DirectedGraphContextMenu.GoToReference.Goto9
#Goto10|ArchitectureContextMenus.DirectedGraphContextMenu.GoToReference.Goto10
#Goto1|ArchitectureContextMenus.DirectedGraphContextMenu.GoToReference.Goto1
Invert Selection|ArchitectureContextMenus.DirectedGraphContextMenu.Advanced.Select.InvertSelection
Add Parent Group|ArchitectureContextMenus.DirectedGraphContextMenu.Advanced.Group.AddParentGroup
Remove Group|ArchitectureContextMenus.DirectedGraphContextMenu.Advanced.Group.RemoveGroup
Remove From Parent|ArchitectureContextMenus.DirectedGraphContextMenu.Advanced.Group.RemoveFromParent
Convert To Leaf|ArchitectureContextMenus.DirectedGraphContextMenu.Advanced.Group.ConvertToLeaf
Convert To Group|ArchitectureContextMenus.DirectedGraphContextMenu.Advanced.Group.ConvertToGroup
Circular Analyzer|CircularAnalyzer
Find Hubs Analyzer|FindHubsAnalyzer
Unreferenced Nodes Analyzer|UnreferencedNodesAnalyzer
Copy Styles|ArchitectureContextMenus.DirectedGraphLegend.CopyStyles
Save Template|ArchitectureContextMenus.DirectedGraphLegend.SaveTemplate
Flag for Follow Up|ArchitectureContextMenus.DirectedGraphContextMenu.FlagforFollowUp
New Comment|ArchitectureContextMenus.DirectedGraphContextMenu.NewComment
D G M L|View.DGML
Namespace|ArchitectureContextMenus.DirectedGraphContextMenu.Advanced.Add.Namespace
#Struct|ArchitectureContextMenus.DirectedGraphContextMenu.Advanced.Add.Struct
#Enum|ArchitectureContextMenus.DirectedGraphContextMenu.Advanced.Add.Enum
#Delegate|ArchitectureContextMenus.DirectedGraphContextMenu.Advanced.Add.Delegate
#Method|ArchitectureContextMenus.DirectedGraphContextMenu.Advanced.Add.Method
#Event|ArchitectureContextMenus.DirectedGraphContextMenu.Advanced.Add.Event
#Field|ArchitectureContextMenus.DirectedGraphContextMenu.Advanced.Add.Field
Add Node|ArchitectureContextMenus.DirectedGraphContextMenu.Advanced.Add.AddNode
Show Containing Type Namespace|EditorContextMenus.CodeWindow.ShowRelatedItemsonCodeMap.ShowContainingTypeNamespace
Show Call Stackon Code Map|Debug.ShowCallStackonCodeMap
Generate Code|OtherContextMenus.ModelExplorerContextMenu.GenerateCode
Configure Default Code Generation Settings|Architecture.ConfigureDefaultCodeGenerationSettings
Import X M I|Architecture.ImportXMI
Analyze Solutionfor Code Clones|Analyze.AnalyzeSolutionforCodeClones
Code Clone Analysis Results|Analyze.CodeCloneAnalysisResults
Find Matching Clonesin Solution|EditorContextMenus.CodeWindow.FindMatchingClonesinSolution
Startwith Current Project|Analyze.StartwithCurrentProject
Launch New Process|Analyze.LaunchNewProcess
Open Trace|Analyze.OpenTrace
Add S D Kto Project|Analyze.AddSDKtoProject
Advanced Settings|Analyze.AdvancedSettings
Hide All Except Selection|OtherContextMenus.Channels.HideAllExceptSelection
Add Fakes Assembly|ProjectandSolutionContextMenus.ReferenceItem.AddFakesAssembly
#S S D T New Schema Comparison|SQL.SSDTNewSchemaComparison
#S S D T Schema Compare Write Updates|SQL.SSDTSchemaCompareWriteUpdates
#S S D T Schema Compare Stop|SQL.SSDTSchemaCompareStop
#S S D T Schema Compare Options|SQL.SSDTSchemaCompareOptions
#S S D T Schema Compare Next Change|SQL.SSDTSchemaCompareNextChange
#S S D T Schema Compare Previous Change|SQL.SSDTSchemaComparePreviousChange
#S S D T Schema Compare Select Source Schema|SQL.SSDTSchemaCompareSelectSourceSchema
#S S D T Schema Compare Select Target Schema|SQL.SSDTSchemaCompareSelectTargetSchema
#S S D T Schema Compare Filter Equal Objects|SQL.SSDTSchemaCompareFilterEqualObjects
#S S D T Schema Compare Filter Not Supported Deploy|SQL.SSDTSchemaCompareFilterNotSupportedDeploy
#S S D T Schema Compare Filter|SSDTSchemaCompareFilter
#S S D T Schema Compare Compare|SQL.SSDTSchemaCompareCompare
#S S D T Schema Compare Generate Script|SQL.SSDTSchemaCompareGenerateScript
#S S D T Schema Compare Group By Action|SQL.SSDTSchemaCompareGroupByAction
#S S D T Schema Compare Group By Schema|SQL.SSDTSchemaCompareGroupBySchema
#S S D T Schema Compare Group By Type|SQL.SSDTSchemaCompareGroupByType
#S S D T Schema Compare Group By|SSDTSchemaCompareGroupBy
#S S D T Schema Compare Unskip|OtherContextMenus.Availablewhenthereisanobjectselected.SSDTSchemaCompareUnskip
#S S D T Schema Compare Skip|OtherContextMenus.Availablewhenthereisanobjectselected.SSDTSchemaCompareSkip
#S S D T Schema Compare Unskip All|OtherContextMenus.Availablewhenthereisatitleselected.SSDTSchemaCompareUnskipAll
#S S D T Schema Compare Skip All|OtherContextMenus.Availablewhenthereisatitleselected.SSDTSchemaCompareSkipAll
#S S D T Clear Event Monitor|SSDTClearEventMonitor
#S S D T Dump R D T|SSDTDumpRDT
#S E Properties|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEProperties
#S E Add New View|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEAddNewView
#S E Add New Synonym|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEAddNewSynonym
#S E Add New Stored Procedure|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEAddNewStoredProcedure
#S E Add New Database Trigger|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEAddNewDatabaseTrigger
#S E Add New Assembly|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEAddNewAssembly
#S E Add New Sql User Defined Clr Type|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEAddNewSqlUserDefinedClrType
#S E Add New Type|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEAddNewType
#S E Add New User Defined Table Type|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEAddNewUserDefinedTableType
#S E Add New X M L Schema Collection|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEAddNewXMLSchemaCollection
#S E Add New Aggregate|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEAddNewAggregate
#S E Add New Rule|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEAddNewRule
#S E Add New Default|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEAddNewDefault
