#################################################
# List of available commands
# Add commands from your own extensions here as
#################################################

Next Error|View.NextError
Add Indexer|Project.AddIndexer
Project Build Order|Project.ProjectBuildOrder
Advanced Save Options|File.AdvancedSaveOptions
New Class View Folder|View.NewClassViewFolder
Find Symbol|Edit.FindSymbol
Find Symbol Results|View.FindSymbolResults
Project Picker Build|Build.ProjectPickerBuild
Project Picker Rebuild|Build.ProjectPickerRebuild
Resource View|View.ResourceView
Edit I Ds|Edit.EditIDs
#Matchalinebreak|OtherContextMenus.FindRegularExpressionBuilder.Matchalinebreak
#Matchanywhitespacecharacter|OtherContextMenus.FindRegularExpressionBuilder.Matchanywhitespacecharacter
#Matchanydecimaldigit|OtherContextMenus.FindRegularExpressionBuilder.Matchanydecimaldigit
Customize|Tools.Customize
Move To Top|ClassViewContextMenus.ClassViewFolder.MoveToTop
Window Help|Help.WindowHelp
Next View|View.NextView
Next Subpane|Window.NextSubpane
Previous Subpane|Window.PreviousSubpane
Project Picker Move Into|File.ProjectPickerMoveInto
Edit Custom Component Set|Tools.EditCustomComponentSet
Pop Browse Context|View.PopBrowseContext
Go To Reference|Edit.GoToReference
Target Path|Tools.TargetPath
Target Directory|Tools.TargetDirectory
Target Name|Tools.TargetName
Target Extension|Tools.TargetExtension
Current Line|Tools.CurrentLine
Current Column|Tools.CurrentColumn
Current Text|Tools.CurrentText
Browse Next|View.BrowseNext
Browse Previous|View.BrowsePrevious
Unload Source Browser Files|Tools.UnloadSourceBrowserFiles
Quick Find Symbol|Edit.QuickFindSymbol
Expand All|View.ExpandAll
Binary Directory|Tools.BinaryDirectory
Bookmark Window|View.BookmarkWindow
Code Snippets Manager|Tools.CodeSnippetsManager
Next Document Window Nav|Window.NextDocumentWindowNav
Previous Document Window Nav|Window.PreviousDocumentWindowNav
Forward Browse Context|View.ForwardBrowseContext
Reset Window Layout|Window.ResetWindowLayout
Find All References|Edit.FindAllReferences
Delete Backwards|Edit.DeleteBackwards
Break Line|Edit.BreakLine
Insert Tab|Edit.InsertTab
Tab Left|Edit.TabLeft
#Char Left|Edit.CharLeft
#Char Left Extend|Edit.CharLeftExtend
#Char Right|Edit.CharRight
#Char Right Extend|Edit.CharRightExtend
#Line Up|Edit.LineUp
#Line Up Extend|Edit.LineUpExtend
#Line Down|Edit.LineDown
#Line Down Extend|Edit.LineDownExtend
#Line Start|Edit.LineStart
#Line Start Extend|Edit.LineStartExtend
#Line Start After Indentation|Edit.LineStartAfterIndentation
#Line Start After Indentation Extend|Edit.LineStartAfterIndentationExtend
#Line End|Edit.LineEnd
#Line End Extend|Edit.LineEndExtend
#Line Last Char|Edit.LineLastChar
#Line Last Char Extend|Edit.LineLastCharExtend
Page Up|Edit.PageUp
Page Up Extend|Edit.PageUpExtend
Page Down|Edit.PageDown
Page Down Extend|Edit.PageDownExtend
View Top|Edit.ViewTop
#View Top Extend|Edit.ViewTopExtend
View Bottom|Edit.ViewBottom
#View Bottom Extend|Edit.ViewBottomExtend
#Scroll Line Up|Edit.ScrollLineUp
#Scroll Line Down|Edit.ScrollLineDown
#Scroll Page Up|Edit.ScrollPageUp
#Scroll Page Down|Edit.ScrollPageDown
#Scroll Column Left|Edit.ScrollColumnLeft
#Scroll Column Right|Edit.ScrollColumnRight
#Scroll Line Bottom|Edit.ScrollLineBottom
#Scroll Line Center|Edit.ScrollLineCenter
#Scroll Line Top|Edit.ScrollLineTop
#Tabify Selected Lines|Edit.TabifySelectedLines
Tabify|Edit.TabifySelectedLines
#Untabify Selected Lines|Edit.UntabifySelectedLines
Untabify|Edit.UntabifySelectedLines
Make Lowercase|Edit.MakeLowercase
Make Uppercase|Edit.MakeUppercase
Toggle Case|Edit.ToggleCase
